,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
32,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,4/30/21,236524,83,0.477,0.000866,0.477,0.727,0,0.108,-4.053,0.286,150.062,4,0
33,ZTFO,Detroit 2,Big Sean,9/4/20,136461,64,0.72,0.0514,0.72,0.542,3.50E-06,0.136,-7.583,0.0482,74.977,4,0
34,Taking Over,Sometimes Sorry Isn't Enough,Tom The Mail Man,4/16/21,158000,60,0.762,0.0288,0.762,0.516,0,0.0966,-8.016,0.0969,156.97,4,0
35,Alpha,Alpha,Guapdad 4000,10/30/20,172800,54,0.916,0.15,0.916,0.572,4.88E-06,0.104,-5.566,0.105,99.998,4,0
36,Feeling Myself Today,Bill Israel,Kodak Black,11/11/20,188074,52,0.873,0.0369,0.873,0.497,0.0324,0.119,-7.145,0.0899,145.013,4,0
37,Switched Up,Switched Up,Morray,11/20/20,168000,41,0.666,0.39,0.666,0.7,0,0.143,-6.368,0.135,160.038,4,0
38,Nobody Special (with Future),Nobody Special (with Future),Hotboii,5/28/21,169500,69,0.843,0.00507,0.843,0.538,0,0.133,-5.928,0.47,160.088,4,0
39,Beat Box 3 (feat. DaBaby),Beat Box 3 (feat. DaBaby),SpotemGottem,2/26/21,200424,81,0.853,0.0765,0.853,0.426,0,0.104,-6.812,0.374,160.051,4,0
40,Toot That (feat. DreamDoll & BeatKing),Toot That (feat. DreamDoll & BeatKing),DreamDoll,5/28/21,211029,55,0.949,0.00126,0.949,0.642,0,0.166,-4.163,0.232,142.003,4,0
41,Baby Boy,Baby Boy,Slimelife Shawty,5/26/21,208194,48,0.669,0.0412,0.669,0.585,0,0.606,-6.138,0.287,83.099,4,0
42,Ballin In LA (feat. Gucci Mane & Pooh Shiesty),Big Grim Reaper,Big Scarr,4/16/21,170120,63,0.812,0.346,0.812,0.639,0,0.582,-4.639,0.442,138.961,4,0
